시점,월별,요일별,도로종류별,사고건수,사망자수,부상자수
2005,2월,토,특별광역시도,770,9,1311
2005,2월,토,시도,545,9,827
2005,2월,토,군도,67,2,99
2005,2월,토,고속국도,31,0,77
2005,2월,토,기타/불명,132,2,181
2005,3월,일,일반국도,400,16,893
2005,3월,일,지방도,120,3,225
2005,3월,일,특별광역시도,710,10,1229
2005,3월,일,시도,528,7,853
2005,3월,일,군도,82,4,139
2005,3월,일,고속국도,53,7,109
2005,3월,일,기타/불명,101,5,134
2005,3월,월,일반국도,400,24,640
2005,3월,월,지방도,155,11,216
2005,3월,월,특별광역시도,749,18,1075
2005,3월,월,시도,544,13,762
2005,3월,월,군도,84,2,112
2005,3월,월,고속국도,38,6,71
2005,3월,월,기타/불명,126,0,165
2005,3월,화,일반국도,438,23,758
2005,3월,화,지방도,169,10,244
2005,3월,화,특별광역시도,1007,17,1481
2005,3월,화,시도,712,19,1025
2005,3월,화,군도,111,7,156
2005,3월,화,고속국도,39,5,78
2005,3월,화,기타/불명,167,1,223
2005,3월,수,일반국도,428,25,648
2005,3월,수,지방도,160,13,276
2005,3월,수,특별광역시도,965,17,1380
2005,3월,수,시도,748,17,1129
2005,3월,수,군도,113,7,142
2005,3월,수,고속국도,31,4,56
2005,3월,수,기타/불명,160,2,229
2005,3월,목,일반국도,472,21,774
2005,3월,목,지방도,181,7,279
2005,3월,목,특별광역시도,1013,14,1463
2005,3월,목,시도,698,16,1012
2005,3월,목,군도,112,4,145
2005,3월,목,고속국도,37,5,69
2005,3월,목,기타/불명,164,8,204
2005,3월,금,일반국도,443,21,740
2005,3월,금,지방도,136,3,199
2005,3월,금,특별광역시도,808,10,1121
2005,3월,금,시도,577,5,883
2005,3월,금,군도,89,6,131
2005,3월,금,고속국도,42,4,93
2005,3월,금,기타/불명,139,1,191
2005,3월,토,일반국도,428,21,813
2005,3월,토,지방도,143,4,250
2005,3월,토,특별광역시도,852,11,1281
2005,3월,토,시도,609,10,944
2005,3월,토,군도,99,5,135
2005,3월,토,고속국도,61,7,190
2005,3월,토,기타/불명,139,1,185
2005,4월,일,일반국도,431,30,866
2005,4월,일,지방도,164,10,293
2005,4월,일,특별광역시도,865,23,1416
2005,4월,일,시도,567,12,964
2005,4월,일,군도,100,8,139
2005,4월,일,고속국도,59,2,175
2005,4월,일,기타/불명,123,2,180
2005,4월,월,일반국도,353,16,570
2005,4월,월,지방도,146,12,224
2005,4월,월,특별광역시도,772,13,1128
2005,4월,월,시도,605,13,855
2005,4월,월,군도,105,7,165
2005,4월,월,고속국도,38,3,74
2005,4월,월,기타/불명,136,1,169
2005,4월,화,일반국도,437,23,801
2005,4월,화,지방도,170,4,291
2005,4월,화,특별광역시도,905,11,1366
2005,4월,화,시도,671,12,1006
2005,4월,화,군도,102,5,123
2005,4월,화,고속국도,40,7,91
2005,4월,화,기타/불명,159,4,195
2005,4월,수,일반국도,401,19,641
2005,4월,수,지방도,157,8,258
2005,4월,수,특별광역시도,830,8,1283
2005,4월,수,시도,653,13,1015
2005,4월,수,군도,95,1,143
2005,4월,수,고속국도,31,2,79
2005,4월,수,기타/불명,141,1,190
2005,4월,목,일반국도,364,19,598
2005,4월,목,지방도,154,4,240
2005,4월,목,특별광역시도,809,14,1218
2005,4월,목,시도,591,18,852
